origin,destination,departure_date,return_date,price_brl,currency,airlines_codes,airlines_names,query_time
CGH,NAT,2025-10-12T14:25:00,2025-10-19T11:45:00,2766.59,BRL,G3,GOL LINHAS AEREAS S/A,2025-08-29T18:35:14.355063
CGH,NAT,2025-10-12T20:50:00,2025-10-18T19:45:00,2766.59,BRL,G3,GOL LINHAS AEREAS S/A,2025-08-29T18:35:14.355063
CGH,NAT,2025-10-12T20:10:00,2025-10-18T19:45:00,2766.59,BRL,G3,GOL LINHAS AEREAS S/A,2025-08-29T18:35:14.355063
CGH,NAT,2025-10-12T19:25:00,2025-10-18T19:45:00,2766.59,BRL,G3,GOL LINHAS AEREAS S/A,2025-08-29T18:35:14.355063
CGH,NAT,2025-10-12T19:25:00,2025-10-19T10:30:00,2766.59,BRL,G3,GOL LINHAS AEREAS S/A,2025-08-29T18:35:14.355063
VCP,NAT,2025-10-12T20:05:00,2025-10-18T16:45:00,2458.89,BRL,G3,GOL LINHAS AEREAS S/A,2025-08-29T18:35:28.766264
VCP,NAT,2025-10-12T20:05:00,2025-10-18T09:05:00,2458.89,BRL,G3,GOL LINHAS AEREAS S/A,2025-08-29T18:35:28.766264
VCP,NAT,2025-10-12T09:45:00,2025-10-18T16:45:00,2458.89,BRL,G3,GOL LINHAS AEREAS S/A,2025-08-29T18:35:28.766264
VCP,NAT,2025-10-12T09:45:00,2025-10-18T09:05:00,2458.89,BRL,G3,GOL LINHAS AEREAS S/A,2025-08-29T18:35:28.766264
VCP,NAT,2025-10-12T20:05:00,2025-10-18T16:45:00,2458.89,BRL,G3,GOL LINHAS AEREAS S/A,2025-08-29T18:35:28.766264
VCP,NAT,2025-10-12T20:05:00,2025-10-18T09:05:00,2458.89,BRL,G3,GOL LINHAS AEREAS S/A,2025-08-29T18:35:28.766264
VCP,NAT,2025-10-12T20:05:00,2025-10-18T16:45:00,2458.89,BRL,G3,GOL LINHAS AEREAS S/A,2025-08-29T18:35:28.766264
VCP,NAT,2025-10-12T20:05:00,2025-10-18T09:05:00,2458.89,BRL,G3,GOL LINHAS AEREAS S/A,2025-08-29T18:35:28.766264
VCP,NAT,2025-10-12T09:45:00,2025-10-18T16:45:00,2458.89,BRL,G3,GOL LINHAS AEREAS S/A,2025-08-29T18:35:28.766264
